Key	角色	台詞
BeforeBattle_001	MainCharacter	(越野車駛入地圖標示的「無人荒原」，這裡遍地都是巨大的岩石與枯萎的植被。)
BeforeBattle_002	MainCharacter	「莉娜，訊號源還在嗎？這裡的地形複雜，很容易跟丟。」
BeforeBattle_003	MainGirlB	「放心吧，那組加密訊號像黑夜裡開了探照燈一樣明顯。就在前面那座峽谷深處。」
BeforeBattle_004	MainGirlB	「不過數據顯示，那附近的熱源反應正在急劇上升……數量多得不正常。」
BeforeBattle_005	MainCharacter	「這點不用妳說我也知道。前面傳來的爆炸聲大到連死人都吵得醒。」
BeforeBattle_006	MainCharacter	(繞過一個巨大的彎道後，眼前的景象讓我們都不禁倒吸一口氣。)
BeforeBattle_007	MainCharacter	(一座充滿未來感的銀白色建築硬生生地嵌在岩壁之中，正被海嘯般的蟲群瘋狂圍攻。)
BeforeBattle_008	MainGirlA	「那是……房子？在這種地方？」
BeforeBattle_009	MainGirlB	「喂！傭兵！把你的鏡頭拉近點！那些自動砲塔……外型有點像『守衛者』，但轉向速度快得不正常！」
BeforeBattle_010	MainCharacter	(還在評估戰況時，車上的無線電突然被強制切斷，發出一陣刺耳的雜訊。)
BeforeBattle_011	MainGirlC	「……偵測到……陌生載具訊號。喂？能聽到嗎？」
BeforeBattle_012	MainCharacter	「誰？妳是怎麼切進我的頻道的？」
BeforeBattle_013	MainGirlC	「那不重要。既然你們路過，可以請你們幫個忙，把外面那些很吵的實驗材料清理一下嗎？」
BeforeBattle_014	MainCharacter	「哈？妳管這堆蟲海叫『實驗材料』？而且我們憑什麼幫妳？」
BeforeBattle_015	MainGirlC	「根據計算，如果你們不幫忙，我的防線會在 4 分 32 秒後崩潰，接著蟲群會轉向攻擊距離最近的熱源，也就是你們。」
BeforeBattle_016	MainGirlC	「所以，合作是生存機率最高的選項。沒異議的話合作現在生效。」
BeforeBattle_017	MainGirlC	「我要去補眠了，連續工作72小時，腦子快燒掉了。晚安。」
BeforeBattle_018	MainCharacter	(通訊直接掛斷。留下我們面面相覷。)
BeforeBattle_019	MainGirlA	「她……她就這樣去睡覺了？」
BeforeBattle_020	MainGirlB	「那個傲慢的女人是誰啊！居然敢擅自切斷我的通訊鏈路！」
BeforeBattle_021	MainGirlB	「不過……傭兵，動手吧。我對那些砲塔的火控系統很有興趣，別讓蟲子把它們全毀了！」
BeforeBattle_022	MainCharacter	「嘖……這女人絕對是我見過最莫名其妙的傢伙。瑟琳，準備戰鬥！莉娜，基地主砲預備！」
BeforeBattle_023	MainGirlB	「哼，砲彈早就上膛了。讓那個不知天高地厚的女人見識一下什麼叫真正的火力！」
AfterBattle_001	MainCharacter	(隨著最後一波蟲潮被基地主砲與自動砲塔的交叉火網殲滅，戰場終於安靜下來。)
AfterBattle_002	MainCharacter	「呼……總算清光了。說實話，這些自動砲塔還真他媽的好用，省了我們不少彈藥。」
AfterBattle_003	MainCharacter	(話音剛落，周遭所有的砲塔整齊劃一地收回槍管，指示燈瞬間熄滅，彷彿只是關機的家電。)
AfterBattle_004	MainGirlA	「全都停止運作了……是因為那個女生醒了嗎？」
AfterBattle_005	MainCharacter	「誰知道。走吧，進去看看屋主到底是何方神聖。」
AfterBattle_006	MainCharacter	(大門被剛才的戰鬥炸開了一個缺口。我們走進去，裡面像是一個大型的混亂實驗室。)
AfterBattle_007	MainCharacter	(到處都散落著精密的零件、發光的能量罐，還有看不懂的全息設計圖。)
AfterBattle_008	MainGirlB	「天啊……喂！傭兵！把你左手邊那個東西拿近一點給我看！」
AfterBattle_009	MainGirlB	「那是高密度能源模組嗎？還有那邊的伺服馬達……這東西不像量產貨！」
AfterBattle_010	MainCharacter	「看來我們真的找到寶了。……在那裡。」
AfterBattle_011	MainCharacter	(我們推開最深處的門，看見一個女人正趴在控制台的椅子上熟睡，口水都快流下來了。)
AfterBattle_012	MainCharacter	(她身上穿著一件寬大的髒白袍，但袍子滑落的肩膀處，露出了底下像是情趣內衣般的布料。)
AfterBattle_013	MainGirlA	「那個……妳好？請問……」
AfterBattle_014	MainGirlC	「嗯……？好吵……變數消除了嗎……？」
AfterBattle_015	MainCharacter	(她揉著眼睛，迷迷糊糊地抬起頭，眼神渙散。)
AfterBattle_016	MainCharacter	「外面打得跟世界末日一樣，妳居然還真的睡得著啊？心臟是有多大顆？」
AfterBattle_017	MainGirlC	「偵測到威脅指數歸零。在非必要時刻保持清醒，是對能量的無謂浪費。」
AfterBattle_018	MainCharacter	「……妳這傢伙是機器人嗎？」
AfterBattle_019	MainGirlC	(她無視了我的吐槽，轉頭看了一眼控制台上一片紅字的螢幕。)
AfterBattle_020	MainGirlC	「嘖，主能源核心受損率 87%，冷卻系統失效。這座設施已經不具備居住條件了。」
AfterBattle_021	MainCharacter	(她突然轉過頭，那雙死魚眼直勾勾地盯著我。)
AfterBattle_022	MainGirlC	「喂，你的載具訊號來自西南方的軍事據點。那邊有穩定的電力供應和空調嗎？」
AfterBattle_023	MainCharacter	「呃，有是有……幹嘛？」
AfterBattle_024	MainGirlC	「很好。判斷為最佳遷移地點。我要搬過去。」
AfterBattle_025	MainCharacter	「蛤？我說妳啊，連我是誰都沒搞清楚，就不怕我把妳綁去賣了？」
AfterBattle_026	MainGirlC	「無所謂。只要有電、伺服器，還有能睡覺的地方，其他我懶得管。」
AfterBattle_027	MainGirlC	(她一邊說著，一邊開始拔掉控制台上的硬碟，動作快得驚人。)
AfterBattle_028	MainGirlC	「那個誰，那邊那個村姑，幫我把那個裝滿稀有金屬的箱子搬上車。」
AfterBattle_029	MainGirlA	「欸？村、村姑？……好、好的！我馬上搬！」
AfterBattle_030	MainGirlC	「還有你，原始人傭兵。把那邊的能源轉換器扛走。重建成本太高，不能丟。」
AfterBattle_031	MainCharacter	「原始人……妳這傢伙，根本沒在聽人說話，還自顧自地指揮起來了啊！」
AfterBattle_032	MainGirlB	「喂！別讓她亂動！那個轉換器的接線很複雜，拔錯了會爆炸的！」
AfterBattle_033	MainCharacter	(最後，在諾拉半強迫的指揮下，我們變成了免費的搬家工人。)
AfterBattle_034	MainGirlA	「呼……好重。那個，既然之後要一起生活了……請問該怎麼稱呼妳呢？」
AfterBattle_035	MainGirlC	「嗯？名字？……諾拉。讓我知道是在叫我就好，隨妳便。」
AfterBattle_036	MainCharacter	「諾拉是吧？我先說好，去我的基地就要遵守我的規矩。」
AfterBattle_037	MainGirlC	「只要不打擾我睡覺和研究，其他的我沒興趣。……哈啊（打哈欠）。」
AfterBattle_038	MainCharacter	「……這傢伙真的聽得懂人話嗎？對了，外頭那些自動砲塔不帶走嗎？那可是好東西。」
AfterBattle_039	MainGirlC	「不用。那種消耗品只要材料夠，我隨時都能再做一堆出來。」
AfterBattle_040	MainGirlC	「重要的是數據核心。……好睏。到了叫我。」
AfterBattle_041	MainCharacter	(看著這個已經鑽進後座準備繼續睡覺的怪人，我不禁感到一陣頭痛。)
AfterBattle_042	MainCharacter	「莉娜，我們帶了個麻煩回去。不過……我想妳跟她應該會很有話聊。」
AfterBattle_043	MainGirlB	「哼，只要她別碰我的大砲，我勉強可以忍受。……快點回來，我想拆開那個轉換器看看結構！」
